date,value
1968-05-31,32.2
1968-06-30,18.4
1968-07-31,33.3
1968-08-31,-3.9
1968-09-30,9.5
1968-10-31,6.8
1968-11-30,13.2
1968-12-31,23.5
1969-01-31,-11.3
1969-02-28,16.8
1969-03-31,27.8
1969-04-30,18.1
1969-05-31,12.7
1969-06-30,18.5
1969-07-31,-1.1
1969-08-31,8.0
1969-09-30,-1.6
1969-10-31,12.1
1969-11-30,-3.4
1969-12-31,-7.9
1970-01-31,-13.1
1970-02-28,-18.1
1970-03-31,-31.2
1970-04-30,-16.9
1970-05-31,-21.5
1970-06-30,-8.4
1970-07-31,7.0
1970-08-31,6.9
1970-09-30,14.0
1970-10-31,3.7
1970-11-30,6.4
1970-12-31,10.2
1971-01-31,28.9
1971-02-28,39.0
1971-03-31,33.3
1971-04-30,37.4
1971-05-31,39.2
1971-06-30,31.3
1971-07-31,25.5
1971-08-31,22.8
1971-09-30,35.9
1971-10-31,39.3
1971-11-30,32.1
1971-12-31,30.4
1972-01-31,34.2
1972-02-29,30.9
1972-03-31,39.5
1972-04-30,28.2
1972-05-31,35.8
1972-06-30,34.1
1972-07-31,33.1
1972-08-31,35.2
1972-09-30,32.9
1972-10-31,39.2
1972-11-30,47.2
1972-12-31,49.1
1973-01-31,47.8
1973-02-28,40.5
1973-03-31,58.5
1973-04-30,53.6
1973-05-31,36.6
1973-06-30,30.4
1973-07-31,24.8
1973-08-31,18.5
1973-09-30,-0.3
1973-10-31,9.8
1973-11-30,15.4
1973-12-31,8.0
1974-01-31,-12.9
1974-02-28,-13.2
1974-03-31,-12.5
1974-04-30,-11.9
1974-05-31,-9.2
1974-06-30,-8.7
1974-07-31,-8.4
1974-08-31,-16.9
1974-09-30,-7.4
1974-10-31,-26.1
1974-11-30,-31.8
1974-12-31,-57.9
1975-01-31,-44.7
1975-02-28,-25.5
1975-03-31,-28.4
1975-04-30,-28.1
1975-05-31,-18.3
1975-06-30,-6.4
1975-07-31,13.7
1975-08-31,28.0
1975-09-30,32.6
1975-10-31,35.3
1975-11-30,44.2
1975-12-31,33.1
1976-01-31,10.8
1976-02-29,20.7
1976-03-31,36.2
1976-04-30,43.2
1976-05-31,37.7
1976-06-30,32.7
1976-07-31,28.0
1976-08-31,19.6
1976-09-30,22.1
1976-10-31,22.2
1976-11-30,13.8
1976-12-31,13.6
1977-01-31,31.5
1977-02-28,34.9
1977-03-31,33.2
1977-04-30,44.4
1977-05-31,30.3
1977-06-30,27.6
1977-07-31,21.5
1977-08-31,20.1
1977-09-30,11.2
1977-10-31,15.9
1977-11-30,18.2
1977-12-31,30.6
1978-01-31,20.6
1978-02-28,11.3
1978-03-31,8.9
1978-04-30,18.4
1978-05-31,27.6
1978-06-30,23.2
1978-07-31,17.9
1978-08-31,27.7
1978-09-30,17.9
1978-10-31,21.0
1978-11-30,14.4
1978-12-31,8.5
1979-01-31,4.1
1979-02-28,-1.5
1979-03-31,5.8
1979-04-30,-3.4
1979-05-31,-1.6
1979-06-30,-4.2
1979-07-31,-13.2
1979-08-31,-17.8
1979-09-30,-24.4
1979-10-31,-28.6
1979-11-30,-20.1
1979-12-31,-15.6
1980-01-31,-18.4
1980-02-29,-20.9
1980-03-31,-19.5
1980-04-30,-37.1
1980-05-31,-53.4
1980-06-30,-54.3
1980-07-31,-57.1
1980-08-31,-39.4
1980-09-30,-10.3
1980-10-31,24.7
1980-11-30,9.0
1980-12-31,7.4
1981-01-31,2.1
1981-02-28,5.2
1981-03-31,8.0
1981-04-30,-1.2
1981-05-31,9.1
1981-06-30,-2.1
1981-07-31,5.5
1981-08-31,16.8
1981-09-30,7.5
1981-10-31,-13.2
1981-11-30,-25.7
1981-12-31,-34.5
1982-01-31,-19.9
1982-02-28,-15.4
1982-03-31,-15.7
1982-04-30,-3.2
1982-05-31,-4.6
1982-06-30,2.2
1982-07-31,2.8
1982-08-31,-3.2
1982-09-30,-13.6
1982-10-31,10.9
1982-11-30,2.3
1982-12-31,14.7
1983-01-31,12.5
1983-02-28,20.2
1983-03-31,32.6
1983-04-30,37.2
1983-05-31,37.6
1983-06-30,42.3
1983-07-31,49.5
1983-08-31,41.5
1983-09-30,40.7
1983-10-31,35.4
1983-11-30,45.1
1983-12-31,41.0
1984-01-31,47.0
1984-02-29,25.8
1984-03-31,35.0
1984-04-30,36.9
1984-05-31,31.7
1984-06-30,27.7
1984-07-31,1.4
1984-08-31,23.7
1984-09-30,22.3
1984-10-31,15.4
1984-11-30,2.7
1984-12-31,2.1
1985-01-31,5.5
1985-02-28,10.9
1985-03-31,30.9
1985-04-30,10.0
1985-05-31,8.0
1985-06-30,-2.4
1985-07-31,11.5
1985-08-31,6.9
1985-09-30,2.3
1985-10-31,6.3
1985-11-30,19.7
1985-12-31,13.4
1986-01-31,22.4
1986-02-28,19.8
1986-03-31,14.0
1986-04-30,3.2
1986-05-31,1.9
1986-06-30,2.8
1986-07-31,11.8
1986-08-31,6.8
1986-09-30,10.6
1986-10-31,9.1
1986-11-30,16.4
1986-12-31,22.8
1987-01-31,5.8
1987-02-28,9.3
1987-03-31,5.6
1987-04-30,14.3
1987-05-31,19.7
1987-06-30,13.0
1987-07-31,15.5
1987-08-31,30.1
1987-09-30,26.3
1987-10-31,27.2
1987-11-30,11.8
1987-12-31,29.8
1988-01-31,3.5
1988-02-29,18.3
1988-03-31,12.8
1988-04-30,26.8
1988-05-31,17.8
1988-06-30,17.4
1988-07-31,23.7
1988-08-31,15.2
1988-09-30,25.6
1988-10-31,27.2
1988-11-30,27.2
1988-12-31,22.7
1989-01-31,28.2
1989-02-28,20.1
1989-03-31,18.0
1989-04-30,4.1
1989-05-31,-10.2
1989-06-30,-7.6
1989-07-31,-16.9
1989-08-31,-9.5
1989-09-30,-5.4
1989-10-31,-7.0
1989-11-30,-4.2
1989-12-31,-2.1
1990-01-31,-7.5
1990-02-28,-22.1
1990-03-31,-21.8
1990-04-30,-9.0
1990-05-31,-16.5
1990-06-30,-8.6
1990-07-31,-18.1
1990-08-31,-18.2
1990-09-30,-43.4
1990-10-31,-48.2
1990-11-30,-27.1
1990-12-31,-37.1
1991-01-31,-32.0
1991-02-28,-22.1
1991-03-31,-11.6
1991-04-30,-6.5
1991-05-31,3.9
1991-06-30,13.0
1991-07-31,19.9
1991-08-31,27.0
1991-09-30,20.0
1991-10-31,9.5
1991-11-30,1.3
1991-12-31,-18.8
1992-01-31,-2.2
1992-02-29,0.6
1992-03-31,15.0
1992-04-30,20.0
1992-05-31,17.0
1992-06-30,15.0
1992-07-31,27.6
1992-08-31,16.7
1992-09-30,21.0
1992-10-31,-4.8
1992-11-30,18.2
1992-12-31,25.4
1993-01-31,31.1
1993-02-28,34.3
1993-03-31,16.2
1993-04-30,23.3
1993-05-31,14.8
1993-06-30,3.5
1993-07-31,-3.2
1993-08-31,-0.3
1993-09-30,7.3
1993-10-31,8.9
1993-11-30,18.9
1993-12-31,41.4
1994-01-31,27.2
1994-02-28,21.2
1994-03-31,19.8
1994-04-30,16.8
1994-05-31,22.1
1994-06-30,25.0
1994-07-31,17.8
1994-08-31,18.5
1994-09-30,18.4
1994-10-31,26.1
1994-11-30,24.7
1994-12-31,23.3
1995-01-31,8.8
1995-02-28,9.2
1995-03-31,2.0
1995-04-30,-11.2
1995-05-31,-8.5
1995-06-30,-20.7
1995-07-31,-20.4
1995-08-31,1.2
1995-09-30,26.2
1995-10-31,21.7
1995-11-30,5.5
1995-12-31,19.6
1996-01-31,-14.7
1996-02-29,4.8
1996-03-31,-3.5
1996-04-30,21.3
1996-05-31,19.6
1996-06-30,21.0
1996-07-31,29.5
1996-08-31,13.8
1996-09-30,12.9
1996-10-31,8.2
1996-11-30,11.1
1996-12-31,8.1
1997-01-31,12.8
1997-02-28,16.9
1997-03-31,13.4
1997-04-30,6.5
1997-05-31,1.1
1997-06-30,18.0
1997-07-31,20.2
1997-08-31,17.2
1997-09-30,19.1
1997-10-31,19.3
1997-11-30,19.8
1997-12-31,15.6
1998-01-31,18.6
1998-02-28,13.2
1998-03-31,10.6
1998-04-30,8.7
1998-05-31,13.2
1998-06-30,24.1
1998-07-31,8.3
1998-08-31,10.4
1998-09-30,-14.2
1998-10-31,3.5
1998-11-30,-4.7
1998-12-31,4.6
1999-01-31,13.8
1999-02-28,15.1
1999-03-31,4.3
1999-04-30,20.6
1999-05-31,13.1
1999-06-30,5.8
1999-07-31,9.8
1999-08-31,13.8
1999-09-30,13.9
1999-10-31,16.0
1999-11-30,20.9
1999-12-31,14.2
2000-01-31,11.2
2000-02-29,14.5
2000-03-31,19.4
2000-04-30,10.0
2000-05-31,13.9
2000-06-30,2.6
2000-07-31,4.7
2000-08-31,17.3
2000-09-30,5.5
2000-10-31,1.8
2000-11-30,7.1
2000-12-31,-7.8
2001-01-31,-36.6
2001-02-28,-29.4
2001-03-31,-20.8
2001-04-30,-10.8
2001-05-31,-11.8
2001-06-30,-7.0
2001-07-31,-12.6
2001-08-31,-18.1
2001-09-30,-8.2
2001-10-31,-23.6
2001-11-30,-17.7
2001-12-31,-11.0
2002-01-31,10.5
2002-02-28,11.0
2002-03-31,12.4
2002-04-30,12.6
2002-05-31,10.1
2002-06-30,20.4
2002-07-31,5.9
2002-08-31,-1.3
2002-09-30,4.3
2002-10-31,-7.6
2002-11-30,7.4
2002-12-31,7.2
2003-01-31,5.5
2003-02-28,-1.6
2003-03-31,-3.9
2003-04-30,-6.7
2003-05-31,-0.6
2003-06-30,3.7
2003-07-31,7.7
2003-08-31,20.2
2003-09-30,20.6
2003-10-31,28.3
2003-11-30,26.8
2003-12-31,26.5
2004-01-31,36.1
2004-02-29,27.7
2004-03-31,29.6
2004-04-30,32.3
2004-05-31,28.9
2004-06-30,30.6
2004-07-31,34.7
2004-08-31,25.0
2004-09-30,19.6
2004-10-31,26.9
2004-11-30,19.1
2004-12-31,25.5
2005-01-31,13.5
2005-02-28,21.1
2005-03-31,15.1
2005-04-30,25.2
2005-05-31,9.3
2005-06-30,-1.3
2005-07-31,8.1
2005-08-31,11.2
2005-09-30,7.1
2005-10-31,4.8
2005-11-30,10.3
2005-12-31,12.9
2006-01-31,5.4
2006-02-28,15.3
2006-03-31,14.7
2006-04-30,14.2
2006-05-31,13.7
2006-06-30,11.7
2006-07-31,4.0
2006-08-31,12.5
2006-09-30,-0.8
2006-10-31,2.3
2006-11-30,4.5
2006-12-31,-1.8
2007-01-31,7.5
2007-02-28,3.5
2007-03-31,2.8
2007-04-30,2.9
2007-05-31,3.7
2007-06-30,17.3
2007-07-31,6.8
2007-08-31,-0.5
2007-09-30,7.5
2007-10-31,7.8
2007-11-30,6.7
2007-12-31,-5.4
2008-01-31,-18.4
2008-02-29,-20.3
2008-03-31,-14.7
2008-04-30,-21.3
2008-05-31,-16.1
2008-06-30,-16.8
2008-07-31,-16.2
2008-08-31,-17.6
2008-09-30,2.1
2008-10-31,-37.5
2008-11-30,-40.9
2008-12-31,-37.6
2009-01-31,-31.1
2009-02-28,-39.6
2009-03-31,-34.4
2009-04-30,-25.2
2009-05-31,-22.4
2009-06-30,0.2
2009-07-31,-6.6
2009-08-31,8.9
2009-09-30,15.2
2009-10-31,12.6
2009-11-30,15.4
2009-12-31,16.5
2010-01-31,12.9
2010-02-28,14.0
2010-03-31,14.2
2010-04-30,16.0
2010-05-31,22.2
2010-06-30,15.0
2010-07-31,7.7
2010-08-31,3.6
2010-09-30,4.5
2010-10-31,0.3
