,close
1971-01-31,38.1
1971-02-28,38.75
1971-03-31,38.75
1971-04-30,38.95
1971-05-31,40.8
1971-06-30,40.8
1971-07-31,40.1
1971-08-31,43.23
1971-09-30,42.25
1971-10-31,42.25
1971-11-30,42.15
1971-12-31,43.4
1972-01-31,46.2
1972-02-29,46.2
1972-03-31,48.3
1972-04-30,49.43
1972-05-31,49.43
1972-06-30,58.8
1972-07-31,65.1
1972-08-31,67.3
1972-09-30,67.3
1972-10-31,65.63
1972-11-30,61.6
1972-12-31,64.83
1973-01-31,64.83
1973-02-28,68.9
1973-03-31,81.4
1973-04-30,81.4
1973-05-31,90.4
1973-06-30,116.0
1973-07-31,119.5
1973-08-31,119.5
1973-09-30,106.98
1973-10-31,102.0
1973-11-30,101.5
1973-12-31,101.5
1974-01-31,120.5
1974-02-28,151.5
1974-03-31,151.5
1974-04-30,177.6
1974-05-31,164.25
1974-06-30,143.65
1974-07-31,143.65
1974-08-31,152.5
1974-09-30,149.4
1974-10-31,166.4
1974-11-30,166.4
1974-12-31,174.0
1975-01-31,174.0
1975-02-28,174.0
1975-03-31,179.25
1975-04-30,167.0
1975-05-31,170.0
1975-06-30,170.0
1975-07-31,164.5
1975-08-31,161.65
1975-09-30,161.65
1975-10-31,144.5
1975-11-30,143.7
1975-12-31,140.5
1976-01-31,140.5
1976-02-29,128.75
1976-03-31,134.3
1976-04-30,128.0
1976-05-31,128.0
1976-06-30,126.75
1976-07-31,111.25
1976-08-31,111.25
1976-09-30,107.35
1976-10-31,114.9
1976-11-30,131.3
1976-12-31,131.3
1977-01-31,132.82
1977-02-28,136.45
1977-03-31,149.8
1977-04-30,149.8
1977-05-31,147.1
1977-06-30,140.2
1977-07-31,140.2
1977-08-31,146.5
1977-09-30,147.85
1977-10-31,161.55
1977-11-30,161.55
1977-12-31,160.4
1978-01-31,172.85
1978-02-28,172.85
1978-03-31,183.5
1978-04-30,179.4
1978-05-31,179.35
1978-06-30,179.35
1978-07-31,183.45
1978-08-31,210.45
1978-09-30,217.45
1978-10-31,217.45
1978-11-30,216.6
1978-12-31,213.25
1979-01-31,213.25
1979-02-28,232.4
1979-03-31,239.8
1979-04-30,242.25
1979-05-31,242.25
1979-06-30,279.3
1979-07-31,300.1
1979-08-31,318.65
1979-09-30,318.65
1979-10-31,400.0
1979-11-30,394.85
1979-12-31,394.85
1980-01-31,632.0
1980-02-29,688.0
1980-03-31,486.0
1980-04-30,486.0
1980-05-31,513.75
1980-06-30,598.0
1980-07-31,618.0
1980-08-31,618.0
1980-09-30,676.5
1980-10-31,649.25
1980-11-30,649.25
1980-12-31,632.7
1981-01-31,566.75
1981-02-28,495.25
1981-03-31,495.25
1981-04-30,512.0
1981-05-31,480.0
1981-06-30,480.0
1981-07-31,410.0
1981-08-31,407.5
1981-09-30,450.5
1981-10-31,450.5
1981-11-30,428.9
1981-12-31,418.0
1982-01-31,381.5
1982-02-28,381.5
1982-03-31,334.0
1982-04-30,344.75
1982-05-31,344.75
1982-06-30,322.0
1982-07-31,347.75
1982-08-31,417.5
1982-09-30,417.5
1982-10-31,417.25
1982-11-30,409.25
1982-12-31,457.25
1983-01-31,457.25
1983-02-28,494.75
1983-03-31,415.0
1983-04-30,415.0
1983-05-31,435.0
1983-06-30,410.75
1983-07-31,426.0
1983-08-31,426.0
1983-09-30,414.5
1983-10-31,390.0
1983-11-30,390.0
1983-12-31,398.5
1984-01-31,371.25
1984-02-29,399.75
1984-03-31,399.75
1984-04-30,381.6
1984-05-31,376.65
1984-06-30,371.5
1984-07-31,371.5
1984-08-31,344.25
1984-09-30,340.0
1984-10-31,340.0
1984-11-30,333.85
1984-12-31,326.4
1985-01-31,301.9
1985-02-28,301.9
1985-03-31,289.3
1985-04-30,325.5
1985-05-31,315.0
1985-06-30,315.0
1985-07-31,313.8
1985-08-31,337.6
1985-09-30,337.6
1985-10-31,324.35
1985-11-30,325.0
1985-12-31,324.85
1986-01-31,324.85
1986-02-28,337.1
1986-03-31,350.6
1986-04-30,350.6
1986-05-31,345.6
1986-06-30,347.95
1986-07-31,348.5
1986-08-31,348.5
1986-09-30,404.0
1986-10-31,426.0
1986-11-30,382.3
1986-12-31,382.3
1987-01-31,401.6
1987-02-28,392.6
1987-03-31,392.6
1987-04-30,420.25
1987-05-31,460.0
1987-06-30,439.0
1987-07-31,439.0
1987-08-31,468.85
1987-09-30,458.8
1987-10-31,474.05
1987-11-30,474.05
1987-12-31,484.5
1988-01-31,476.5
1988-02-29,476.5
1988-03-31,429.15
1988-04-30,447.0
1988-05-31,453.0
1988-06-30,453.0
1988-07-31,439.15
1988-08-31,430.2
1988-09-30,398.6
1988-10-31,398.6
1988-11-30,422.25
1988-12-31,415.6
1989-01-31,415.6
1989-02-28,392.7
1989-03-31,391.0
1989-04-30,384.75
1989-05-31,384.75
1989-06-30,374.6
1989-07-31,368.8
1989-08-31,359.6
1989-09-30,359.6
1989-10-31,362.55
1989-11-30,408.1
1989-12-31,408.1
1990-01-31,394.95
1990-02-28,417.05
1990-03-31,370.75
1990-04-30,370.75
1990-05-31,371.0
1990-06-30,350.0
1990-07-31,350.0
1990-08-31,382.6
1990-09-30,382.15
1990-10-31,373.9
1990-11-30,373.9
1990-12-31,373.8
1991-01-31,383.5
1991-02-28,363.0
1991-03-31,363.0
1991-04-30,360.75
1991-05-31,355.0
1991-06-30,355.0
1991-07-31,369.4
1991-08-31,358.0
1991-09-30,352.3
