,ret
1990-07-31,0.026699999999999998
1990-08-31,-0.10490000000000001
1990-09-30,-0.1395
1990-10-31,0.15719999999999998
1990-11-30,-0.0745
1990-12-31,0.0104
1991-01-31,0.0192
1991-02-28,0.10490000000000001
1991-03-31,-0.043199999999999995
1991-04-30,0.0148
1991-05-31,-0.0037
1991-06-30,-0.063
1991-07-31,0.035199999999999995
1991-08-31,-0.0287
1991-09-30,0.06
1991-10-31,0.018299999999999997
1991-11-30,-0.051800000000000006
1991-12-31,0.042
1992-01-31,-0.026699999999999998
1992-02-29,-0.03440000000000001
1992-03-31,-0.0698
1992-04-30,-0.008099999999999998
1992-05-31,0.069
1992-06-30,-0.0429
1992-07-31,-0.0315
1992-08-31,0.061200000000000004
1992-09-30,-0.0276
1992-10-31,-0.0547
1992-11-30,0.004699999999999999
1992-12-31,0.005
1993-01-31,0.0013
1993-02-28,0.0341
1993-03-31,0.1026
1993-04-30,0.09609999999999999
1993-05-31,0.0352
1993-06-30,-0.0329
1993-07-31,0.0417
1993-08-31,0.0506
1993-09-30,-0.028099999999999997
1993-10-31,0.0116
1993-11-30,-0.08869999999999999
1993-12-31,0.0597
1994-01-31,0.10439999999999999
1994-02-28,-0.0013000000000000004
1994-03-31,-0.028399999999999998
1994-04-30,0.0353
1994-05-31,-0.004
1994-06-30,0.0215
1994-07-31,0.0047
1994-08-31,0.0144
1994-09-30,-0.0277
1994-10-31,0.028899999999999995
1994-11-30,-0.054799999999999995
1994-12-31,0.011399999999999999
1995-01-31,-0.042300000000000004
1995-02-28,-0.0086
1995-03-31,0.0601
1995-04-30,0.034
1995-05-31,-0.014699999999999998
1995-06-30,-0.0126
1995-07-31,0.0525
1995-08-31,-0.028399999999999998
1995-09-30,0.0095
1995-10-31,-0.0184
1995-11-30,0.0215
1995-12-31,0.0345
1996-01-31,0.0069
1996-02-29,0.0049
1996-03-31,0.018799999999999997
1996-04-30,0.0371
1996-05-31,-0.009400000000000002
1996-06-30,0.0017000000000000001
1996-07-31,-0.0311
1996-08-31,0.0006
1996-09-30,0.0229
1996-10-31,-0.0121
1996-11-30,0.0333
1996-12-31,-0.0144
1997-01-31,-0.0355
1997-02-28,0.0127
1997-03-31,-0.0052
1997-04-30,0.0052
1997-05-31,0.07919999999999999
1997-06-30,0.0438
1997-07-31,0.0108
1997-08-31,-0.0653
1997-09-30,0.0508
1997-10-31,-0.0687
1997-11-30,-0.019299999999999998
1997-12-31,-0.0028000000000000004
1998-01-31,0.042699999999999995
1998-02-28,0.06409999999999999
1998-03-31,0.0323
1998-04-30,0.009899999999999999
1998-05-31,0.00010000000000000009
1998-06-30,-0.0038000000000000004
1998-07-31,0.0051
1998-08-31,-0.11620000000000001
1998-09-30,-0.0308
1998-10-31,0.0964
1998-11-30,0.0438
1998-12-31,0.0287
1999-01-31,0.0049
1999-02-28,-0.0203
1999-03-31,0.0423
1999-04-30,0.048799999999999996
1999-05-31,-0.0392
1999-06-30,0.0492
1999-07-31,0.0344
1999-08-31,0.018
1999-09-30,0.0206
1999-10-31,0.035
1999-11-30,0.0479
1999-12-31,0.0805
2000-01-31,-0.0582
2000-02-29,0.0364
2000-03-31,0.0287
2000-04-30,-0.061900000000000004
2000-05-31,-0.024700000000000003
2000-06-30,0.0358
2000-07-31,-0.038900000000000004
2000-08-31,0.0175
2000-09-30,-0.0475
2000-10-31,-0.039099999999999996
