,ret
1989-07-31,0.012999999999999998
1989-08-31,0.023700000000000002
1989-09-30,0.1506
1989-10-31,-0.015
1989-11-30,0.0141
1989-12-31,0.0754
1990-01-31,0.015899999999999997
1990-02-28,0.0433
1990-03-31,-0.044300000000000006
1990-04-30,-0.004300000000000002
1990-05-31,0.08810000000000001
1990-06-30,0.042800000000000005
1990-07-31,0.0781
1990-08-31,-0.1263
1990-09-30,-0.11030000000000001
1990-10-31,0.0169
1990-11-30,-0.0373
1990-12-31,0.0074
1991-01-31,0.0254
1991-02-28,0.1279
1991-03-31,0.027999999999999997
1991-04-30,0.005900000000000001
1991-05-31,0.0496
1991-06-30,-0.0345
1991-07-31,0.0148
1991-08-31,0.0055000000000000005
1991-09-30,-0.0304
1991-10-31,0.051899999999999995
1991-11-30,-0.0009999999999999998
1991-12-31,0.08900000000000001
1992-01-31,0.09
1992-02-29,0.0475
1992-03-31,-0.0231
1992-04-30,-0.0063999999999999994
1992-05-31,-0.0032999999999999995
1992-06-30,-0.0739
1992-07-31,-0.0018
1992-08-31,-0.0338
1992-09-30,-0.0096
1992-10-31,0.04630000000000001
1992-11-30,-0.0049
1992-12-31,0.0225
1993-01-31,-0.0063
1993-02-28,0.033400000000000006
1993-03-31,0.0345
1993-04-30,0.0433
1993-05-31,0.0433
1993-06-30,0.0049
1993-07-31,0.0369
1993-08-31,0.0851
1993-09-30,0.0487
1993-10-31,0.0964
1993-11-30,0.06269999999999999
1993-12-31,0.18469999999999998
1994-01-31,-0.011000000000000001
1994-02-28,-0.01
1994-03-31,-0.11349999999999999
1994-04-30,-0.0025
1994-05-31,0.0188
1994-06-30,-0.029899999999999996
1994-07-31,0.06520000000000001
1994-08-31,0.12179999999999999
1994-09-30,0.0258
1994-10-31,-0.0284
1994-11-30,-0.0433
1994-12-31,-0.0907
1995-01-31,-0.12369999999999999
1995-02-28,0.0054
1995-03-31,-0.0012999999999999995
1995-04-30,0.026000000000000002
1995-05-31,0.0581
1995-06-30,0.0053
1995-07-31,0.0302
1995-08-31,-0.023899999999999998
1995-09-30,-0.0045000000000000005
1995-10-31,-0.0349
1995-11-30,-0.011200000000000002
1995-12-31,0.03440000000000001
1996-01-31,0.08879999999999999
1996-02-29,-0.0232
1996-03-31,0.0121
1996-04-30,0.0254
1996-05-31,-0.013500000000000002
1996-06-30,0.011200000000000002
1996-07-31,-0.0541
1996-08-31,0.030300000000000004
1996-09-30,0.0151
1996-10-31,-0.017800000000000003
1996-11-30,0.015
1996-12-31,0.0066
1997-01-31,0.0707
1997-02-28,0.051699999999999996
1997-03-31,-0.0215
1997-04-30,-0.02
1997-05-31,0.031799999999999995
1997-06-30,0.047400000000000005
1997-07-31,0.0079
1997-08-31,-0.11209999999999999
1997-09-30,0.0174
1997-10-31,-0.1588
1997-11-30,-0.054000000000000006
1997-12-31,0.0003999999999999998
1998-01-31,-0.0617
1998-02-28,0.1056
1998-03-31,0.0409
1998-04-30,0.0077
1998-05-31,-0.1041
1998-06-30,-0.102
1998-07-31,0.0225
1998-08-31,-0.24530000000000002
1998-09-30,0.0405
1998-10-31,0.0808
1998-11-30,0.0643
1998-12-31,-0.0173
1999-01-31,-0.015499999999999998
1999-02-28,0.0021999999999999997
1999-03-31,0.09119999999999999
1999-04-30,0.1069
1999-05-31,0.0118
1999-06-30,0.10610000000000001
1999-07-31,-0.013900000000000001
1999-08-31,0.028000000000000004
1999-09-30,-0.0301
1999-10-31,0.0333
1999-11-30,0.0868
1999-12-31,0.1182
2000-01-31,0.0083
2000-02-29,0.0294
2000-03-31,0.006499999999999999
2000-04-30,-0.10869999999999999
2000-05-31,-0.026000000000000002
2000-06-30,0.0222
2000-07-31,-0.04650000000000001
2000-08-31,0.00020000000000000017
2000-09-30,-0.0924
2000-10-31,-0.08639999999999999
2000-11-30,-0.08439999999999999
2000-12-31,0.013000000000000001
2001-01-31,0.12010000000000001
2001-02-28,-0.06520000000000001
2001-03-31,-0.0817
2001-04-30,0.0393
2001-05-31,0.0106
2001-06-30,-0.0179
2001-07-31,-0.0664
2001-08-31,-0.015300000000000001
2001-09-30,-0.14400000000000002
2001-10-31,0.053
2001-11-30,0.0983
2001-12-31,0.0824
2002-01-31,0.0308
2002-02-28,0.0131
2002-03-31,0.0661
2002-04-30,0.0028000000000000004
2002-05-31,-0.0213
