date,value
1997-02-28,3.28
1997-03-31,3.44
1997-04-30,3.62
1997-05-31,3.58
1997-06-30,3.59
1997-07-31,3.64
1997-08-31,3.57
1997-09-30,3.58
1997-10-31,3.57
1997-11-30,3.54
1997-12-31,3.6
1998-01-31,3.69
1998-02-28,3.67
1998-03-31,3.73
1998-04-30,3.79
1998-05-31,3.79
1998-06-30,3.75
1998-07-31,3.8
1998-08-31,3.84
1998-09-30,3.69
1998-10-31,3.62
1998-11-30,3.77
1998-12-31,3.81
1999-01-31,3.83
1999-02-28,3.81
1999-03-31,3.93
1999-04-30,3.91
1999-05-31,3.85
1999-06-30,3.93
1999-07-31,4.0
1999-08-31,4.03
1999-09-30,4.07
1999-10-31,4.13
1999-11-30,4.11
1999-12-31,4.25
2000-01-31,4.37
2000-02-29,4.3
2000-03-31,4.18
2000-04-30,4.0
2000-05-31,4.18
2000-06-30,4.1
2000-07-31,4.04
2000-08-31,4.02
2000-09-30,4.0
2000-10-31,3.9
2000-11-30,3.84
2000-12-31,3.75
2001-01-31,3.45
2001-02-28,3.29
2001-03-31,3.18
2001-04-30,3.13
2001-05-31,2.95
2001-06-30,2.95
2001-07-31,3.11
2001-08-31,3.04
2001-09-30,2.92
2001-10-31,2.72
2001-11-30,2.89
2001-12-31,3.25
2002-01-31,3.16
2002-02-28,2.91
2002-03-31,2.93
2002-04-30,2.64
2002-05-31,2.5
2002-06-30,2.46
2002-07-31,2.25
2002-08-31,1.79
2002-09-30,1.48
2002-10-31,1.53
2002-11-30,1.6
2002-12-31,1.58
2003-01-31,1.31
2003-02-28,0.87
2003-03-31,0.66
2003-04-30,0.89
2003-05-31,0.73
2003-06-30,0.49
2003-07-31,0.78
2003-08-31,0.91
2003-09-30,0.68
2003-10-31,0.5
2003-11-30,0.61
2003-12-31,0.62
2004-01-31,0.44
2004-02-29,0.15
2004-03-31,-0.23
2004-04-30,0.15
2004-05-31,0.44
2004-06-30,0.53
2004-07-31,0.4
2004-08-31,0.29
2004-09-30,0.36
2004-10-31,0.22
2004-11-30,0.2
2004-12-31,0.3
2005-01-31,0.66
2005-02-28,0.67
2005-03-31,0.59
2005-04-30,0.44
2005-05-31,0.64
2005-06-30,1.06
2005-07-31,1.43
2005-08-31,1.21
2005-09-30,0.54
2005-10-31,0.91
2005-11-30,1.84
2005-12-31,2.49
2006-01-31,2.13
2006-02-28,1.73
2006-03-31,1.76
2006-04-30,1.74
2006-05-31,1.86
2006-06-30,2.46
2006-07-31,2.91
2006-08-31,3.05
2006-09-30,5.07
2006-10-31,7.73
2006-11-30,9.21
2006-12-31,8.96
